,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
220,2017-11-03,23:39:40,holgermu,"@vincenzolandino @aaronscjohnson @united @AmericanAir @SouthwestAir MyPOV - Nothing scary with free re-booking, a $ is a $ when rebooking, free 2 piece luggage. Best perk - Companion Pass.",0.8225,1.0,0.0,1.0,1.0,mypov nothing scary free rebooking rebooking free piece luggage best perk companion pass,,4
226,2017-11-03,23:35:20,aaronscjohnson,"@holgermu @vincenzolandino @united @AmericanAir @SouthwestAir Yes, Hawaii will be great!  Hope you make it home soon.",0.8748,1.0,0.0,1.0,1.0,yes hawaii great hope make home soon,,1
229,2017-11-03,23:31:13,holgermu,@aaronscjohnson @vincenzolandino @united @AmericanAir @SouthwestAir Agreed. #1. Not flying to #Mumbai yet. Excited about #Hawaii coming. Companion Pass is best loyalty deal in their air!,0.9098,1.0,0.0,1.0,1.0,agreed #1 flying #mumbai yet excited #hawaii coming companion pass best loyay deal air,"['#1', '#mumbai', '#hawaii']",2
1001,2017-11-03,00:42:51,ShawnS754,"@OpenSkiesVoices As long as @Delta @united @AmericanAir give better as good service with comfortable seats, Americans will fly them.",0.8442,1.0,1.0,0.0,1.0,long give better good service comfortable seats americans fly,,3
1007,2017-11-03,00:35:36,MatheusHenicka,"@GrahamRahal @united @AmericanAir I'm a birthday today, day 3. I'm your fan Graham, here in Brazil, I'd like you to send me a happy birthday. :D",0.9106,1.0,0.0,0.0,1.0,i am birthday today day i am fan graham brazil i would like send happy birthday,,1
1116,2017-11-02,22:33:01,mgiglesias,@rasmus @united Like @AmericanAir EZE-MIA which is also a 777-300 ER. Love those Biz seats. Also do it 3x year roundtrip. Wanna do it for @codear 2018?,0.7717,1.0,0.0,0.0,1.0,like ezemia also er love biz seats also year roundtrip wanna,,1
1192,2017-11-02,21:06:54,FDTreport,Also can't get on early upgrade list until checkin even though 1st leg is operated by @americanair - @united @delta looking better &amp; better,0.7003,1.0,1.0,0.0,1.0,also can not get early upgrade list checkin even though leg operated looking better and better,,4
1208,2017-11-02,20:38:14,Laura_samota,"Hi @AmericanAir @united I can’t fly home for the holidays bc your flights cost twice as much as last year’s, I hope your CEOs fall down a well",0.765,1.0,0.0,0.0,1.0,hi can not fly home holidays bc flights cost twice much last years hope ceos fall well,,1
1668,2017-11-02,05:48:04,almaderricks,Screwed by @AmericanAir . . . late flight = missed connnection . . . surly agent did bare minimum to help . . . @united to the rescue!! TY!,0.7012,1.0,0.0,0.0,1.0,screwed late flight missed connnection surly agent bare minimum help rescue ty,,0
2482,2017-11-01,00:53:21,snheard,@AmericanAir @Delta @SouthwestAir @united 12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty?,0.7351,1.0,1.0,1.0,1.0,year ep american airlines since will not address concerns who is interested loyay,,1
2659,2017-10-31,20:20:46,NorfolkAirport,Life is full of great adventures. Start your journey with us. #TakeORF @Allegiant @AmericanAir @Delta @SouthwestAir @united,0.7579,1.0,1.0,1.0,1.0,life full great adventures start journey us #takeorf,['#takeorf'],2
3988,2017-10-30,09:40:10,jelds0713,Never got on a @united flight but it is safe to say I never will! Been stuck in Boston for two days now. Thanks @AmericanAir for stepping in,0.8779,1.0,0.0,0.0,1.0,never got flight safe say never stuck boston two days thanks stepping,,2
