,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
914,2017-11-03,03:08:20,ANovik06,@united please help bring @ARobbins_ home for Thanksgiving @Delta won’t help!,0.7901,0.0,1.0,0.0,1.0,please help bring home thanksgiving will not help,,0
1001,2017-11-03,00:42:51,ShawnS754,"@OpenSkiesVoices As long as @Delta @united @AmericanAir give better as good service with comfortable seats, Americans will fly them.",0.8442,1.0,1.0,0.0,1.0,long give better good service comfortable seats americans fly,,2
1192,2017-11-02,21:06:54,FDTreport,Also can't get on early upgrade list until checkin even though 1st leg is operated by @americanair - @united @delta looking better &amp; better,0.7003,1.0,1.0,0.0,1.0,also can not get early upgrade list checkin even though leg operated looking better and better,,1
1402,2017-11-02,16:03:21,stevefleck,@YuriHauswald @migchapulin @pelotonmagazine @LaufCycling @capocycling @GUEnergyLabs @KITSBOW @CamelBak @LoganVB @ridewtb @ChamoisButtr @TopicalEDGE @wahoofitness @Delta @united Free is good!,0.7574,0.0,1.0,0.0,1.0,free good,,4
1427,2017-11-02,15:48:09,stevefleck,"@YuriHauswald @migchapulin @pelotonmagazine @LaufCycling @capocycling @GUEnergyLabs @KITSBOW @CamelBak @LoganVB @ridewtb @ChamoisButtr @TopicalEDGE @wahoofitness What was the ""Bike Fee""? Hopefully better than on @Delta or @United! :)",0.8356,0.0,1.0,0.0,1.0,bike fee hopefully better,,1
1573,2017-11-02,12:18:36,Blaise672,@united #sad that your loyalty programs are 1-way..I wonder if @Delta would value a frequent flier?#corrupt #unethical #loyalnotloyal,0.7096,0.0,1.0,0.0,1.0,#sad loyay programs wonder would value frequent flier#corrupt #unethical #loyalnotloyal,"['#sad', '#corrupt', '#unethical', '#loyalnotloyal']",4
2022,2017-11-01,20:05:07,obeysps,@Delta thank u 4 making my check in so easy! Wish the rest of my party would not have booked w/@united since they are having so many issues,0.9044,0.0,1.0,0.0,1.0,thank making check easy wish rest party would booked with united since many issues,,1
2482,2017-11-01,00:53:21,snheard,@AmericanAir @Delta @SouthwestAir @united 12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty?,0.7351,1.0,1.0,1.0,1.0,year ep american airlines since will not address concerns who is interested loyay,,1
2659,2017-10-31,20:20:46,NorfolkAirport,Life is full of great adventures. Start your journey with us. #TakeORF @Allegiant @AmericanAir @Delta @SouthwestAir @united,0.7579,1.0,1.0,1.0,1.0,life full great adventures start journey us #takeorf,['#takeorf'],1
3919,2017-10-30,12:49:21,drew_magid,"Hey @Delta can I watch Stranger Things on Delta Studio?  Will love you long time if yes, will switch to @united if no.  JK about @united",0.8091,0.0,1.0,0.0,1.0,hey watch stranger things dea studio love long time yes switch jk,,3
4932,2017-10-29,15:37:23,calbeach95,"Crystal clear, bluebird day!! Counting on @United to do a better job this week than @Delta did for me last week! #FlyingTheFriendlySkies",0.7488,0.0,1.0,0.0,1.0,crystal clear bluebird day counting better job week last week #flyinhefriendlyskies,['#flyinhefriendlyskies'],1
5121,2017-10-29,06:27:23,SunGroupWP,@ruoxiangchau @mikexingchen @red_yoshi @CBGisme @robynstevensPR @EyeLubSharks @DisneyParks @HyattTweets @united @Delta @FlyFrontier Wow that looks so good! Can you tweet some over? Please!,0.8866,0.0,1.0,0.0,1.0,wow looks good tweet please,,1
5778,2017-10-28,13:17:15,Tolanidh,@F16B @ZachHonig @united @Delta And it’s the @thepointsguy fault who keeps telling me about new deals &amp; new credit cards-Stop it guys.I’m having 2 much fun traveling :) Thx,0.8271,0.0,1.0,0.0,1.0,fau keeps telling new deals and new credit cardsstop guysim much fun traveling thx,,1
6093,2017-10-28,01:43:52,JimCT,@Delta 1k flier. Upgrade me to diamond and I’ll be loyal. Not getting the loyalty from @United. Dm me for my miles flown and dollars spent.,0.8402,0.0,1.0,0.0,1.0,flier upgrade diamond i will loyal getting loyay direct message miles flown dollars spent,,0
6176,2017-10-28,00:10:12,Tolanidh,@groadwarrior @ZachHonig @united Thanks bud. Good to hear positive news. I gave up @Delta and switched all travel to @united Good to know it wasn’t a mistake.,0.872,0.0,1.0,0.0,1.0,thanks bud good hear positive news gave switched travel good know was not mistake,,1
6194,2017-10-27,23:41:36,TabbyLavalamp,"If @SouthwestAir is going to have free concerts, @Delta should have free interactive theater and @United can have free wrestling.",0.872,0.0,1.0,1.0,1.0,going free concerts free interactive theater free wrestling,,4
6588,2017-10-27,17:50:13,tqm_7,5k lbs of supplies for PR relief on hand with no transportation support. Who can help? @DavidBegnaud @Delta @united @SouthwestAir,0.8591,0.0,1.0,1.0,1.0,lbs supplies pr relief hand transportation support help,,0
6657,2017-10-27,16:43:11,appelbaum_josh,@thepointsguy loves @United. Looks like it’s time for a switch. @Delta figure it out guys. We’ve ALL had enough.,0.7351,0.0,1.0,0.0,1.0,loves looks like time switch figure guys weve enough,,1
6882,2017-10-27,13:16:56,Atticusmj,@LimitedRunDoug @LimitedRunJosh @Delta @united from all my flying tho they done best with out highway robing you tho they always gaven me free hotel room stay in both times it happen tome,0.7184,0.0,1.0,0.0,1.0,flying tho done best highway robing tho always gaven free hotel room stay times happen tome,,4
7177,2017-10-27,01:52:32,JackieBnotO,"@united @Delta Long Distance Relationships are hard, but successfully flying United is harder!",0.8439,0.0,1.0,0.0,1.0,long distance relationships hard successfully flying united harder,,1
7179,2017-10-27,01:51:29,JackieBnotO,"@united @Delta She changed her flight only a few hours after initial booking, got a confirmation ""your flight has been changed"" screen, but her ticket is still showing up as the original and now United won't fix it without a $260 fee",0.7684,0.0,1.0,0.0,1.0,changed flight hours initial booking got confirmation flight changed screen ticket still showing original united will not fix without fee,,2
8094,2017-10-26,10:50:33,Bruhh_Jaesan_76,@whatsinside @united @Delta Hope you had a good flight. Excluding the credit card speech,0.8126,0.0,1.0,0.0,1.0,hope good flight excluding credit card speech,,4
8224,2017-10-26,03:34:37,maddisonrankin,@Delta @united @AmericanAir it’s thanksGIVING and you jack up your flight prices 🤔 maybe u should be a lil more thankful &amp; a lil more giving,0.7708,1.0,1.0,0.0,1.0,thanksgiving jack flight prices maybe lil thankful and lil giving,,1
8226,2017-10-26,03:33:57,chaselepard,"@whatsinside @united @Delta Seems that United only read the cover of ""Jab, Jab, Jab, Right Hook"" - please help em' @garyvee",0.7783,0.0,1.0,0.0,1.0,seems united read cover jab jab jab right hook please help em,,0
8234,2017-10-26,03:25:24,whatsinside,About to land in Boston from San Francisco. @united giving their cheesy pitch to get a credit card. 🤦‍️ thanks @Delta for not doing that.,0.7845,0.0,1.0,0.0,1.0,land boston san francisco giving cheesy pitch get credit card 🤦️ thanks,,1
8259,2017-10-26,02:39:46,rogueeducators,@united I'll send you my info and you can comp me. Why reward those? Gets old watching this. @delta has one free bag. I'll go with them next time.,0.7906,0.0,1.0,0.0,1.0,i will send info comp reward gets old watching one free bag i will go next time,,4
8621,2017-10-25,20:09:22,jonihalabi,"@shahedC @united @Delta @AmericanAir Yeah. I should have known better.  I booked the flight on Lufthansa, actually, but it ended up being operated by United. #fail",0.7391,1.0,1.0,0.0,1.0,yeah known better booked flight lufthansa actually ended operated united #fail,['#fail'],1
8772,2017-10-25,17:32:22,miranda_burnss,"@Delta @united @AmericanAir I need to see my best friend, @chriistianeee .. Who can get her to Huntsville, AL tomorrow? Ready, GO!",0.8805,1.0,1.0,0.0,1.0,need see best friend get huntsville al tomorrow ready go,,0
