,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
224,2017-11-03,23:36:41,vincenzolandino,@aaronscjohnson @holgermu @united @AmericanAir @SouthwestAir Never have. Wouldn't even know what to expect. I'm scared.,-0.4404,1.0,0.0,1.0,1.0,never would not even know expect i am scared,,4
727,2017-11-03,13:17:26,loire1969,@Reagan_Airport @TherealTaraji @Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews You worthless sack of shit are still flying over us at &lt; 2000 ft. FUCK OFF!,-0.9006,1.0,0.0,1.0,1.0,worthless sack shit still flying us ft fuck,,0
763,2017-11-03,12:13:20,illini__jeff,@thepointsguy @SouthwestAir @united @FlyFrontier Sadly still no Centurion Lounge in Denver @AskAmex,-0.6124,0.0,0.0,1.0,1.0,sadly still centurion lounge denver,,2
863,2017-11-03,05:27:53,notsince1973,$80 on a $225 ticket - 35% premium - to escape from @united’s Basic Economy. Ridiculous. @SouthwestAir charging same price but no games...,-0.4939,0.0,0.0,1.0,1.0,ticket premium escape basic economy ridiculous charging price games,,4
959,2017-11-03,01:38:58,KehWilliams,@united I’ve never had such issues with an airline... have ALWAYS flown @SouthwestAir with no problems.,-0.5994,0.0,0.0,1.0,1.0,i have never issues airline always flown problems,,0
2546,2017-10-31,23:05:54,rachelbbbbb,Been sitting on a @united plane for close to an hour at the gate because an overhead bin is broken. Should’ve flown @SouthwestAir..,-0.4767,0.0,0.0,1.0,1.0,sitting plane close hour gate overhead bin broken should have flown,,2
2649,2017-10-31,20:35:18,SvenC,"@united Apparently they had a “paperwork issue”... @SouthwestAir never does this crap to me. Come on @United, get your stuff together!!!",-0.5962,0.0,0.0,1.0,1.0,apparently paperwork issue never crap come get stuff together,,0
3526,2017-10-30,19:32:30,donniethebird,Flying @united today and already regretting it...now I remember why I’m always a @SouthwestAir guy,-0.4019,0.0,0.0,1.0,1.0,flying today already regretting itnow remember i am always guy,,0
3760,2017-10-30,16:08:30,Enrique_C18,@SouthwestAir You have really disappointed me. 2 hour delay because you did not check an aircraft is unforgivable. Next time I'll fly @united,-0.6901,0.0,0.0,1.0,1.0,really disappointed hour delay check aircraft unforgivable next time i will fly,,2
4179,2017-10-30,02:11:40,CandidateBill,@nypost @SouthwestAir Please don't go from the most customer friendly airline to @SpiritAirlines / @united This is seriously and horrifically cruel.,-0.5606,0.0,0.0,1.0,1.0,please do not go customer friendly airline seriously horrifically cruel,,3
5054,2017-10-29,11:18:44,loire1969,@Reagan_Airport @Reagan_Airport @SouthwestAir @AmericanAir @united @FAANews WORST NEIGHBORS EVER! Ruining another wknd with bombing runs over us. #Sunday,-0.7978,1.0,0.0,1.0,1.0,worst neighbors ever ruining another wknd bombing runs us #sunday,['#sunday'],1
5371,2017-10-28,22:35:30,maddiec0212,"After a 5 hour delay and a missed wedding ceremony, we finally made it to Pensacola @united. Terrible experience.  Why I fly @SouthwestAir.",-0.765,0.0,0.0,1.0,1.0,hour delay missed wedding ceremony finally made pensacola terrible experience fly,,2
5464,2017-10-28,20:21:49,YYCfactChecker,@TheCurrent I’d rather be beaten to within an inch of my life by surly @united staff than suffer this diabolical torture on @SouthwestAir. ,-0.8807,0.0,0.0,1.0,1.0,i would rather beaten within inch life surly staff suffer diabolical torture,,4
5693,2017-10-28,15:05:47,DKDINSF,@coldcallcarrie @united @SouthwestAir So glad I sat in horrible LA traffic all nervous about getting to LAX on time for my flight just to find out it was delayed when I arrived.,-0.4951,0.0,0.0,1.0,1.0,glad sat horrible la traffic nervous getting lax time flight find delayed arrived,,2
