,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
23,2017-11-04,03:03:27,GilWritesHere,"@Super_awwsum @SouthwestAir Hear ya, but for LAX-EWR &amp; IAD-LAX I take @united 777 flights. Only carrier using domestic widebodies. Love 767, but those are  phased out.",0.7783,0.0,0.0,1.0,1.0,hear ya lax ewr and iad lax take flights carrier using domestic widebodies love phased,,2
220,2017-11-03,23:39:40,holgermu,"@vincenzolandino @aaronscjohnson @united @AmericanAir @SouthwestAir MyPOV - Nothing scary with free re-booking, a $ is a $ when rebooking, free 2 piece luggage. Best perk - Companion Pass.",0.8225,1.0,0.0,1.0,1.0,mypov nothing scary free rebooking rebooking free piece luggage best perk companion pass,,1
226,2017-11-03,23:35:20,aaronscjohnson,"@holgermu @vincenzolandino @united @AmericanAir @SouthwestAir Yes, Hawaii will be great!  Hope you make it home soon.",0.8748,1.0,0.0,1.0,1.0,yes hawaii great hope make home soon,,4
229,2017-11-03,23:31:13,holgermu,@aaronscjohnson @vincenzolandino @united @AmericanAir @SouthwestAir Agreed. #1. Not flying to #Mumbai yet. Excited about #Hawaii coming. Companion Pass is best loyalty deal in their air!,0.9098,1.0,0.0,1.0,1.0,agreed #1 flying #mumbai yet excited #hawaii coming companion pass best loyay deal air,"['#1', '#mumbai', '#hawaii']",4
1131,2017-11-02,22:06:50,kellystraniero,@united @SouthwestAir I should have never left you my sweet sweet bae.,0.7184,0.0,0.0,1.0,1.0,never left sweet sweet bae,,4
2482,2017-11-01,00:53:21,snheard,@AmericanAir @Delta @SouthwestAir @united 12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty?,0.7351,1.0,1.0,1.0,1.0,year ep american airlines since will not address concerns who is interested loyay,,3
2659,2017-10-31,20:20:46,NorfolkAirport,Life is full of great adventures. Start your journey with us. #TakeORF @Allegiant @AmericanAir @Delta @SouthwestAir @united,0.7579,1.0,1.0,1.0,1.0,life full great adventures start journey us #takeorf,['#takeorf'],0
3365,2017-10-30,22:45:13,macwifiguy,"@united Thanks JR and just to be clear, as my original tweet was not I was at the gate 9 min. prior to deparrture time, which the gate agent said is 1 min late.  It’s kind of ironic now I’m sitting on a @SouthwestAir flight and they held the door as long as possible for a late guest :)",0.8405,0.0,0.0,1.0,1.0,thanks jr clear original tweet gate min prior deparrture time gate agent said min late kind ironic i am sitting flight held door long possible late guest,,4
5277,2017-10-29,00:51:05,JMBatchelor3,@momtomkc @AmericanAir Not surprised! @americanAir @united don’t care. I am a loyal @SouthwestAir passenger!,0.8309,1.0,0.0,1.0,1.0,surprised do not care loyal passenger,,0
5690,2017-10-28,15:07:26,coldcallcarrie,@SouthwestAir You're in my good books - all my SWA flights this year have been super. I am flying @united - it's @DKDINSF that had the issue on SWA.,0.7783,0.0,0.0,1.0,1.0,you are good books swa flights year super flying issue swa,,3
6194,2017-10-27,23:41:36,TabbyLavalamp,"If @SouthwestAir is going to have free concerts, @Delta should have free interactive theater and @United can have free wrestling.",0.872,0.0,1.0,1.0,1.0,going free concerts free interactive theater free wrestling,,1
6588,2017-10-27,17:50:13,tqm_7,5k lbs of supplies for PR relief on hand with no transportation support. Who can help? @DavidBegnaud @Delta @united @SouthwestAir,0.8591,0.0,1.0,1.0,1.0,lbs supplies pr relief hand transportation support help,,3
12153,2017-11-02,04:30:16,ShelMKE,Texted congrats to my Astros friend. Guess I need to go to Texas for lunch soon. Who’s buying? @delta @SouthwestAir ????,0.8205,0.0,1.0,1.0,0.0,texted congrats astros friend guess need go texas lunch soon who is buying,,3
12643,2017-11-01,20:39:46,DMNBiz,.@SouthwestAir to Dallas: Make Alaska Airlines share Love Field gates with @Delta | @Conor_Shine,0.7506,0.0,1.0,1.0,0.0,southwestair dallas make alaska airlines share love field gates,,2
12754,2017-11-01,18:57:53,ColinRusso,@MatthewRusso but did @delta dress up &amp; provide free alcoholic bev's like @southwestair did?,0.8271,0.0,1.0,1.0,0.0,dress and provide free alcoholic bevs like,,1
16269,2017-10-29,21:56:11,dromination,"@OldRowKoozie @OldRowSwig @AmericanAir @Delta @SouthwestAir @AlaskaAir I honestly have no idea how of all people I have it. But with great power comes great responsibility, and I’ll be damned if trolling airlines isn’t the first thing I do after noticing I was granted such an honor.",0.9118,1.0,1.0,1.0,0.0,honestly idea people great power comes great responsibility i will damned trolling airlines is not first thing noticing granted honor,,3
17776,2017-10-28,18:36:07,hollywoodcurry,Free .@facebook #messenger #imessage .@WhatsApp free #FaceTime audio calls unlimited! I just quit.@SouthwestAir  ️ ️.@Delta #DeltaProud,0.784,0.0,1.0,1.0,0.0,free facebook #messenger #imessage whatsapp free #facetime audio calls unlimited quitsouthwestair ️deaeaproud,"['#messenger', '#imessage', '#facetime']",1
20663,2017-10-26,17:25:22,TechShizzle,@MarkHalperin @Delta Co-Pilot loves traveling on @SouthwestAir ! Best ever!,0.8585,0.0,1.0,1.0,0.0,copilot loves traveling best ever,,3
22106,2017-10-25,18:55:57,starmaxprez,@Delta @JetBlue @SouthwestAir you have a real opportunity with the black community to treat us better than @AmericanAir has,0.8126,1.0,1.0,1.0,0.0,real opportunity black community treat us better,,3
22607,2017-10-25,12:16:44,MeleMan22,"Flying @SouthwestAir today, 6:30 AM flight, happy and helpful people as always. Experience difference is almost laughable vs. @Delta",0.7512,0.0,1.0,1.0,0.0,flying today flight happy helpful people always experience difference almost laughable vs,,0
22838,2017-11-04,04:32:59,JolaneMinor,When the sky looks divided you take a stunning picture..I love my office view.@SouthwestAir #Atlanta  #dividedskys #bigblue #atlopsagent,0.7783,0.0,0.0,1.0,0.0,sky looks divided take stunning picturei love office viewsouthwestair #atlantaividedskys #bigblue #atlopsagent,"['#atlantaividedskys', '#bigblue', '#atlopsagent']",2
22846,2017-11-04,04:26:34,todayfeelsgood,@SouthwestAir So looking forward to you in Hawaii!!!  I love flying with you guys when I'm on the mainland.,0.7249,0.0,0.0,1.0,0.0,looking forward hawaii love flying guys i am mainland,,2
22849,2017-11-04,04:22:04,KellyMadruga,@SouthwestAir thanks for a great flight and even better ticket agents in Sacramento ...awesome women Gate B20 both of them,0.872,0.0,0.0,1.0,0.0,thanks great flight even better ticket agents sacramento awesome women gate b20,,3
22851,2017-11-04,04:16:31,PWBrusoe,My @SouthwestAir flight 1819 had the best jokes during the safety announcements! Way to make you pay attention!,0.8475,0.0,0.0,1.0,0.0,flight best jokes safety announcements way make pay attention,,3
22852,2017-11-04,04:13:45,pintoo06,@SouthwestAir made a plane full of us sing happy birthday to a 20year old just for kicks and I think that’s awesome. #yallarealright,0.8316,0.0,0.0,1.0,0.0,made plane full us sing happy birthday old kicks think thats awesome #yallarealright,['#yallarealright'],0
22863,2017-11-04,04:01:36,MaggieMenderski,Well this is quite a welcome home. Thanks for the view @southwestair #southwestairlines @ St. Louis,0.8204,0.0,0.0,1.0,0.0,well quite welcome home thanks view #southwestairlines st louis,['#southwestairlines'],3
22864,2017-11-04,04:01:19,Nuhaserrac,I love you @SouthwestAir. Your service and employees are the best! #ILoveSouthwest,0.8655,0.0,0.0,1.0,0.0,love service employees best #ilovesouthwest,['#ilovesouthwest'],2
22870,2017-11-04,03:45:32,Precious1pchan,@noveencrumbie @SouthwestAir Lol you mean you don't want to get me a private jet?? I thought your love for me ran deep,0.7985,0.0,0.0,1.0,0.0,lol mean do not want get private jet thought love ran deep,,2
22874,2017-11-04,03:39:19,Craig_S_Grant,"@SouthwestAir @joshualoy You’re just telling him to grin and bare it? What kind of customer service is that? Josh, @AlaskaAir is better out of SeaTac anyways",0.7476,0.0,0.0,1.0,0.0,you are telling grin bare kind customer service josh better seatac anyways,,0
22887,2017-11-04,03:18:58,twittened4u,"Need to work on wobbly landing &amp; NOT slamming on brakes, but Stephanie was amazing! Best flight attendant all year! @SouthwestAir #raise",0.9272,0.0,0.0,1.0,0.0,need work wobbly landing and slamming brakes stephanie amazing best flight attendant year #raise,['#raise'],4
22891,2017-11-04,03:13:55,AllyRae91,"@SouthwestAir Getting ready to take off on plane #2, kudos to everyone that made the unloading and reboarding process as smooth as it could possibly be",0.7003,0.0,0.0,1.0,0.0,getting ready take plane #2 kudos everyone made unloading reboarding process smooth could possibly,['#2'],4
22896,2017-11-04,03:08:39,mamamonti,@SouthwestAir great flight with a great crew on flight 421 ISP to MCO.. thank you #lovesouthwest,0.8934,0.0,0.0,1.0,0.0,great flight great crew flight isp mco thank #lovesouthwest,['#lovesouthwest'],4
22910,2017-11-04,02:49:10,DuecesNeverLose,@SouthwestAir plz let us know when issues fixed. Not calling again just to wait. seems like we might need to xplor other options. feel free to contact me.,0.7269,0.0,0.0,1.0,0.0,plz let us know issues fixed calling wait seems like might need xplor options feel free contact,,1
22914,2017-11-04,02:47:08,mdavidruff,"@SouthwestAir On our way, and the pilot was very kind and apologetic. Just makes for a super long day.",0.8221,0.0,0.0,1.0,0.0,way pilot kind apologetic makes super long day,,3
22920,2017-11-04,02:38:41,megdunlap,"@SouthwestAir Don’t worry, I had that fancy Southwest WiFi! And my wine found its way to me just fine. Very pleasant flight. Thanks, @SouthwestAir️",0.7139,0.0,0.0,1.0,0.0,do not worry fancy southwest wifi wine found way fine pleasant flight thanks,,1
22925,2017-11-04,02:33:12,Rockysingh517,@SouthwestAir Awesome and quick. Best airline by far. Coming from a Delta platinum.,0.8519,0.0,0.0,1.0,0.0,awesome quick best airline far coming dea platinum,,0
22931,2017-11-04,02:26:37,lasettle,@SouthwestAir #RapidRewards is celebrating my birthday with a fun party experience. Check it out!,0.8748,0.0,0.0,1.0,0.0,#rapidrewards celebrating birthday fun party experience check,['#rapidrewards'],0
22935,2017-11-04,02:23:15,RebelLifeMedia,I agree @SouthwestAir is more fun and easy going than all others!,0.8607,0.0,0.0,1.0,0.0,agree fun easy going others,,0
22939,2017-11-04,02:18:55,ucladude101,@GarciaJason @SouthwestAir I was going to be in Salt Lake as well. And yes good thing for Southwest.,0.7717,0.0,0.0,1.0,0.0,going sa lake well yes good thing southwest,,4
22943,2017-11-04,02:17:50,mdavidruff,I love when an airline (@SouthwestAir) repeatedly delays a flight in 30 min increments. 3hrs and counting. Do I hear 3.5?!?,0.7052,0.0,0.0,1.0,0.0,love airline southwestair repeatedly delays flight min increments counting hear,,2
22959,2017-11-04,02:05:56,subryant4,@pat_gum @College_Crosse @SouthwestAir You are he BEST &amp; thank you. We already bought a replacement. Thanks again!!!!,0.91,0.0,0.0,1.0,0.0,best and thank already bought replacement thanks,,0
22962,2017-11-04,02:04:15,KamillaKaine,"Hi @SouthwestAir, I'm on your plane right now, &amp; y'all are just awesome. Seriously, the best plane ride experience I've had in a long time",0.8225,0.0,0.0,1.0,0.0,hi i am plane right and you all awesome seriously best plane ride experience i have long time,,4
22965,2017-11-04,02:02:05,TheNeuel,Beautiful California sunrise courtesy of @SouthwestAir,0.7506,0.0,0.0,1.0,0.0,beautiful california sunrise courtesy,,3
22971,2017-11-04,01:59:26,brett_been,Pretty cool that you can cover six states and a couple hundred miles in just a few hours! Flying is cool! Thanks for the ride @SouthwestAir,0.8829,0.0,0.0,1.0,0.0,pretty cool cover six states couple hundred miles hours flying cool thanks ride,,3
22972,2017-11-04,01:59:23,ColbyJHall,"@SouthwestAir first time flying with you guys, and it’s been fantastic! Thanks for making a good first impression.",0.8908,0.0,0.0,1.0,0.0,first time flying guys fantastic thanks making good first impression,,4
22989,2017-11-04,01:39:18,atxpkrgolf,Got 40th bday for Monique who works for @SouthwestAir in this plane &amp; other parties. Shd be fun scadaddle out west.God I love this company.,0.8807,0.0,0.0,1.0,0.0,got bday monique works plane and parties shd fun scadaddle westgod love company,,0
22995,2017-11-04,01:26:17,ajacostaf,The best way to fly @SouthwestAir #love #rapidrewards #freedrink thank you guys for #greatservice #dallas to #atlanta,0.7717,0.0,0.0,1.0,0.0,best way fly #love #rapidrewards #freedrink thank guys #greatserviceallas #atlanta,"['#love', '#rapidrewards', '#freedrink', '#greatserviceallas', '#atlanta']",2
23000,2017-11-04,01:24:40,theleticiag,@SouthwestAir Yes!! Back to Dallas for the Holidays ️️ btw just dropped off the bf this morning too ️️ ,0.7081,0.0,0.0,1.0,0.0,yes back dallas holidays ️️ by the way dropped bf morning ️️,,4
23009,2017-11-04,01:13:11,SteveNavarre,Awesome gift from @southwestair Thank you! Will use @projectell office @ Project ELL,0.8687,0.0,0.0,1.0,0.0,awesome gift thank use office project ell,,3
23017,2017-11-04,01:09:27,shalpin7,"@SouthwestAir Give my best to Herb Kelleher for the recommendation. Made it a wild turkey with sprite per the advice of @MCHalpin88, avid southwest fan",0.8271,0.0,0.0,1.0,0.0,give best herb kelleher recommendation made wild turkey sprite per advice avid southwest fan,,2
23030,2017-11-04,00:55:38,greekmaria,@SouthwestAir Heidi on my 6:55 DCA ️ MKE was incredible. Made me laugh as I️ walked on and was a treat throughout the flight. So fun!!,0.8879,0.0,0.0,1.0,0.0,heidi dca mke incredible made laugh i️ walked treat throughout flight fun,,0
23031,2017-11-04,00:54:18,atxpkrgolf,Got through security at love Field in less than two minutes that is a record. Now to enjoy a ride to #vegas on #1 airline @SouthwestAir,0.8689,0.0,0.0,1.0,0.0,got security love field less two minutes record enjoy ride #vegas #1 airline,"['#vegas', '#1']",2
23040,2017-11-04,00:44:19,PJprincessDaisy,@SouthwestAir Thanks so much for the great service! #southwestorbust!,0.8217,0.0,0.0,1.0,0.0,thanks much great service #southwestorbust,['#southwestorbust'],0
23041,2017-11-04,00:41:58,rleedep,I n 1990 @SouthwestAir gave me several free trips to Houston 2 donate platelets 2 my sister Thank You  #175stories,0.7003,0.0,0.0,1.0,0.0,gave several free trips houston donate platelets sister thank #175stories,['#175stories'],1
23072,2017-11-04,00:14:00,MaxSLubin,@SpiritAirlines @SouthwestAir please give Lakeeda in Oakland a raise and a promotion. She is amazing and saved the day ,0.836,0.0,0.0,1.0,0.0,please give lakeeda oakland raise promotion amazing saved day,,4
23117,2017-11-03,23:28:06,BrendaLHanley,Thanks for a great flight @SouthwestAir and a humorous staff!  Good bye California coast. Hello Texas! 🤠,0.9199,0.0,0.0,1.0,0.0,thanks great flight humorous staff good bye california coast hello texas,,4
23136,2017-11-03,23:15:19,SOULfulyMotiv8d,@SouthwestAir hope you are able to work out something. The seats with the outlets below them like Love field would be GREAT!!,0.9434,0.0,0.0,1.0,0.0,hope able work something seats outlets like love field would great,,2
23137,2017-11-03,23:15:16,tduff951,Thanks Hector @SouthwestAir in Orlando for getting me on an earlier flight. Awesome!,0.807,0.0,0.0,1.0,0.0,thanks hector orlando getting earlier flight awesome,,4
23159,2017-11-03,23:00:19,freedomisntfre4,@SouthwestAir Thanks southwest! That’s awesome!!!,0.8469,0.0,0.0,1.0,0.0,thanks southwest thats awesome,,3
23169,2017-11-03,22:53:34,hokies00,@SouthwestAir thanks to the awesome pilots on my rdu-mco flight for showing my kids around the cockpit,0.7906,0.0,0.0,1.0,0.0,thanks awesome pilots rdumco flight showing kids around cockpit,,4
23173,2017-11-03,22:50:10,dahomes,Yet another reason I love @SouthwestAir.  $7.99 for tv on United? It’s free on Southwest.,0.8834,0.0,0.0,1.0,0.0,yet another reason love tv united free southwest,,1
