,Date,time,handle,tweet,compound,American,Delta,Southwest,United,tweets_clean1,hashtags,cluster_num
3,2017-11-04,03:22:11,loooorenanicole,@united I'm SO DISAPPOINTED in your cust support. Shame on you.,-0.7398,0.0,0.0,0.0,1.0,i am disappointed customer support shame,,3
8,2017-11-04,03:17:06,_MisEllis_,"@united This is just a gist of that debacle. But ultimately,I am truly disappointed and infuriated about this subpar experience.",-0.6369,0.0,0.0,0.0,1.0,gist debacle uimatelyi truly disappointed infuriated subpar experience,,4
14,2017-11-04,03:12:25,_MisEllis_,"@united I missed multiple exams, appointments and job opportunity. To add insult to injury, the customer service we received was beyond terrible.",-0.8225,0.0,0.0,0.0,1.0,missed muiple exams appointments job opportunity add insu injury customer service received beyond terrible,,3
17,2017-11-04,03:07:26,loooorenanicole,@united I'm really frustrated with your customer support's apparent lack of understanding that United Explorer Chase members get perks,-0.4927,0.0,0.0,0.0,1.0,i am really frustrated customer supports apparent lack understanding united explorer chase members get perks,,3
24,2017-11-04,03:03:15,ItsKittyBabee,@united Need some extra boarding time? You're the last one on the plane take ur time It's like a punishment wtf,-0.6705,0.0,0.0,0.0,1.0,need extra boarding time you are last one plane take your time like punishment wtf,,1
25,2017-11-04,03:02:58,sonja_travels,So very disappointed in @united’ handling of racial Exchange I had with a gate agent in July....still no feedback &amp; constant excuses....,-0.707,0.0,0.0,0.0,1.0,disappointed handling racial exchange gate agent july still feedback and constant excuses,,2
29,2017-11-04,02:59:02,Chris_Chuter,Had to throw away stand up poster due to arbitrary rules between airports @hkairport @united. A big FU from security.,-0.6166,0.0,0.0,0.0,1.0,throw away stand poster due arbitrary rules airports big fuck you security,,4
32,2017-11-04,02:56:52,BramKincheloe,"@united So late that we missed our next flight. You put us on a new flight to SFO, AND NOW THE PLANE HAS BEEN DECOMISSIONED and we we're forced off",-0.6369,0.0,0.0,0.0,1.0,late missed next flight put us new flight sfo plane decomissioned forced,,4
37,2017-11-04,02:40:21,deetothab,@EdB_SP @united you ruined it for everybody,-0.4767,0.0,0.0,0.0,1.0,ruined everybody,,0
57,2017-11-04,02:09:22,AAforFun,@simnett @united Sadly in an oligopolistic market consumers are an inconvenient truth ,-0.4404,0.0,0.0,0.0,1.0,sadly oligopolistic market consumers inconvenient truth,,2
59,2017-11-04,02:08:19,nicburrr,"@united consistently the worst airline with the worst employees, hands down",-0.8481,0.0,0.0,0.0,1.0,consistently worst airline worst employees hands,,4
62,2017-11-04,02:03:14,EddieBMoneyhat,I hate you @united and I hate you @EWRairport. Never again for either of you.,-0.8126,0.0,0.0,0.0,1.0,hate hate never either,,4
79,2017-11-04,01:50:25,JennMaid,Let me rephrase. I’m never flying @united again. Delayed flights for multiple hours and no way to fix anything. ,-0.4767,0.0,0.0,0.0,1.0,let rephrase i am never flying delayed flights muiple hours way fix anything,,0
83,2017-11-04,01:41:36,nonstick,Hey @united. Is it policy to threaten people with no place to sleep after canceling their flight unless they give up their passports?,-0.5859,0.0,0.0,0.0,1.0,hey policy threaten people place sleep canceling flight unless give passports,,2
84,2017-11-04,01:39:35,KaseyPekala,Shoutout to @united for continuously having the worst customer service of all time,-0.6249,0.0,0.0,0.0,1.0,shoutout continuously worst customer service time,,3
96,2017-11-04,01:27:11,_Doc_FA,@IrishMell @united Aggravating and unfair for #payingfirstclass @united  #whatsthepoint,-0.6486,0.0,0.0,0.0,1.0,aggravating unfair #payingfirstclass #whatsthepoint,"['#payingfirstclass', '#whatsthepoint']",4
105,2017-11-04,01:17:07,simnett,".@united no meal vouchers, no explanation for why the flight is 6 hours more delayed than any other. what's going on???? flight 816",-0.7617,0.0,0.0,0.0,1.0,united meal vouchers explanation flight hours delayed what is going flight,,0
108,2017-11-04,01:15:42,JussMari_,I am very unhappy with @united Airlines. This is my first and last time flying with them.,-0.4754,0.0,0.0,0.0,1.0,unhappy airlines first last time flying,,1
112,2017-11-04,01:13:50,YoDreamBoyBMW,@united why is my plane delayed ABQ to DEN to PDX!!!!!,-0.471,0.0,0.0,0.0,1.0,plane delayed abq den pdx,,0
115,2017-11-04,01:11:27,meatgroupie,"@_Doc_FA @united That happened to me, too. It’s aggravating and really unfair. The food’s not even that good.",-0.7905,0.0,0.0,0.0,1.0,happened aggravating really unfair foods even good,,2
121,2017-11-04,01:04:59,DebasPh,@matheusaleex @united Realy sad,-0.4767,0.0,0.0,0.0,1.0,realy sad,,4
130,2017-11-04,00:52:05,JohnTheFluter,"@united booked a flight for me and my gma-2 adult tickets, then realized there was a senior option for 65+ is that a problem for her ticket?",-0.4019,0.0,0.0,0.0,1.0,booked flight gma2 adu tickets realized senior option problem ticket,,2
